longitude,latitude
-111.45194,31.52785
-111.24708,31.60881
-111.53917,31.62373
-111.41185,31.63371
-111.42317,31.65804
-111.25013,31.6516
-111.36541,31.67181
-111.27557,31.67284
-111.30289,31.67342
-111.40196,31.69171
-111.2004,31.72388
-111.05379,31.7476
-111.49415,31.78086
-111.42021,31.78594
-111.02167,31.80791
-111.40665,31.84249
-112.75618,31.90259
-112.87015,31.96733
-112.77901,31.99116
-112.84299,31.99882
-111.49798,32.01323
-112.89848,32.04347
-111.36182,32.06911
-113.10273,32.0997
-113.28927,32.1148
-113.16499,32.1159
-111.35606,32.08474
-112.95576,32.16903
-112.79415,32.152
-111.27809,32.15607
-112.954,32.18434
-111.32795,32.1964
-112.77396,32.23201
-113.17437,32.24818
-112.7773,32.22812
-112.94475,32.24555
-112.88653,32.28854
-111.39103,32.27746
-111.37967,32.30409
-112.96894,32.35658
-111.61601,32.33636
-113.11757,32.3735
-111.62203,32.36919
-113.06769,32.3991
-111.38956,32.01767
-111.38018,32.04004
-111.34324,32.09461
