period,n_deaths,n_cells,distance_band_deg,distance_band_mi,avg_neighbors,hot_99,hot_95,hot_90,not_sig,cold_90,cold_95,cold_99
Pre-SFA (2000-2007),1215,604,0.09838699101000054,6.2709374699816784,8.347682119205299,30,1,0,573,0,0,0
Post-SFA (2008-2019),1826,814,0.09838699100998571,6.270937469980734,7.722358722358722,48,16,6,744,0,0,0
All years (2000-2019),3041,1070,0.09838699100998133,6.2709374699804545,7.581308411214954,62,17,19,972,0,0,0

property,value
cell_size_deg,0.044
cell_w_mi,2.565416986211274
cell_h_mi,3.0434799999999997
bbox_lon_span_mi,361.49057532977065
bbox_lat_span_mi,242.09499999999977
n_rows,80
n_cols,141
n_cells_total,11280
n_cells_valid_bboxwide,9906
n_cells_in_az,7536
